input:951 output:0
input:1106 output:59
input:1053 output:61
input:1048 output:26
input:1008 output:23
input:1114 output:18
input:1081 output:24
input:1033 output:23
input:1116 output:29
input:1041 output:66
input:1046 output:26
input:1021 output:22
input:1028 output:25
input:1041 output:49
input:1046 output:25
input:1050 output:38
input:1104 output:70
input:1269 output:63
input:1282 output:29
input:1271 output:45
input:1265 output:48
input:1252 output:31
input:1281 output:50
input:1380 output:119
input:1580 output:19
input:1545 output:17
input:1106 output:86
input:1295 output:74
input:1289 output:56
input:1270 output:76
input:1274 output:64
input:1263 output:51
input:1254 output:78
input:1105 output:78
input:1055 output:44
input:1175 output:85
